source_row_id,Transaction Date,Amount,rule_vendor,rule_category,llm_vendor,llm_category,category_changed,category_upgrade_from_other,vendor_changed
31,,133.18,Safeway,Office Supplies & Equipment,Safeway,Meals & Entertainment,True,False,False
122,,152.58,[Vendor Missing],Other,[Vendor Missing],Travel & Transportation,True,True,False
22,,153.69,Walgreens,Office Supplies & Equipment,Walgreens,Office Supplies & Equipment,False,False,False
213,,158.25,Budget,Other,Budget,Travel & Transportation,True,True,False
61,,160.04,Chipotle,Other,Chipotle,Meals & Entertainment,True,True,False
246,,163.08,Chevron,Other,Chevron,Travel & Transportation,True,True,False
161,,170.81,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
227,,177.97,Budget,Other,Budget,Travel & Transportation,True,True,False
65,,179.39,Verizon,Other,Verizon,Utilities & Rent,True,True,False
243,,181.08,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
116,,192.35,Marriott,Other,Marriott,Travel & Transportation,True,True,False
62,,200.37,Amazon,Other,Amazon,Office Supplies & Equipment,True,True,False
172,,201.59,Salesforce,Office Supplies & Equipment,Salesforce,Software & Technology,True,False,False
38,,214.53,Walmart,Office Supplies & Equipment,Walmart,Office Supplies & Equipment,False,False,False
79,,219.62,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
224,,222.35,Uber,Office Supplies & Equipment,Uber,Travel & Transportation,True,False,False
76,,225.42,Uber,Other,Uber,Travel & Transportation,True,True,False
207,,226.93,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
248,,234.77,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
226,,237.03,Comcast,Other,Comcast,Utilities & Rent,True,True,False
223,,244.07,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
0,,245.65,Walgreens,Other,Walgreens,Office Supplies & Equipment,True,True,False
80,,249.95,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
173,,257.71,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
83,,259.93,Chipotle,Other,Chipotle,Meals & Entertainment,True,True,False
126,,265.38,Subway,Office Supplies & Equipment,Subway,Meals & Entertainment,True,False,False
39,,265.94,Walmart,Office Supplies & Equipment,Walmart,Office Supplies & Equipment,False,False,False
48,,265.94,Spotify,Office Supplies & Equipment,Spotify,Software & Technology,True,False,False
167,,275.21,Salesforce,Other,Salesforce,Software & Technology,True,True,False
117,,283.72,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
120,,285.05,Lyft,Other,Lyft,Travel & Transportation,True,True,False
241,,310.27,Chevron,Other,Chevron,Travel & Transportation,True,True,False
231,,311.1,Netflix,Office Supplies & Equipment,Netflix,Software & Technology,True,False,False
212,,312.33,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
201,,313.24,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
45,,317.05,Safeway,Other,Safeway,Office Supplies & Equipment,True,True,False
152,,318.86,Apple,Other,Apple,Software & Technology,True,True,False
234,,322.21,Amazon,Office Supplies & Equipment,Amazon,Office Supplies & Equipment,False,False,False
107,,322.98,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
94,,328.03,Costco,Other,Costco,Office Supplies & Equipment,True,True,False
114,,331.46,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
150,,333.11,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
85,,336.51,Domino's,Office Supplies & Equipment,Domino's,Meals & Entertainment,True,False,False
91,,336.79,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
4,,340.91,Subway,Other,Subway,Meals & Entertainment,True,True,False
215,,345.83,Bestbuy,Other,Bestbuy,Office Supplies & Equipment,True,True,False
66,,346.34,Amazon,Other,Amazon,Office Supplies & Equipment,True,True,False
160,,359.1,Amazon,Office Supplies & Equipment,Amazon,Office Supplies & Equipment,False,False,False
5,,359.62,Lyft,Other,Lyft,Travel & Transportation,True,True,False
16,,362.63,Hertz,Office Supplies & Equipment,Hertz,Travel & Transportation,True,False,False
177,,381.64,Chipotle,Other,Chipotle,Meals & Entertainment,True,True,False
18,,382.24,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
237,,388.03,Walmart,Office Supplies & Equipment,Walmart,Office Supplies & Equipment,False,False,False
14,,396.24,AT&T,Office Supplies & Equipment,AT&T,Utilities & Rent,True,False,False
46,,396.39,Domino's,Office Supplies & Equipment,Domino's,Meals & Entertainment,True,False,False
27,,399.59,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
34,,403.22,[Vendor Missing],Other,[Vendor Missing],Meals & Entertainment,True,True,False
127,,409.11,Airbnb,Other,Airbnb,Travel & Transportation,True,True,False
204,,411.4,Airbnb,Office Supplies & Equipment,Airbnb,Travel & Transportation,True,False,False
247,,411.45,Walmart,Other,Walmart,Office Supplies & Equipment,True,True,False
138,,412.23,Safeway,Other,Safeway,Meals & Entertainment,True,True,False
182,,419.71,Safeway,Other,Safeway,Meals & Entertainment,True,True,False
73,,430.46,Starbucks,Office Supplies & Equipment,Starbucks,Meals & Entertainment,True,False,False
20,,435.33,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
49,,438.75,Google,Office Supplies & Equipment,Google,Software & Technology,True,False,False
164,,442.29,Kroger,Office Supplies & Equipment,Kroger,Meals & Entertainment,True,False,False
184,,443.94,Amazon,Other,Amazon,Office Supplies & Equipment,True,True,False
159,,444.23,Subway,Other,Subway,Meals & Entertainment,True,True,False
193,,448.83,Shell,Other,Shell,Travel & Transportation,True,True,False
35,,449.16,Google,Office Supplies & Equipment,Google,Software & Technology,True,False,False
228,,449.46,Americanexpress,Other,Americanexpress,Banking & Finance,True,True,False
124,,451.06,Apple,Other,Apple,Software & Technology,True,True,False
200,,452.1,Airbnb,Other,Airbnb,Travel & Transportation,True,True,False
139,,455.37,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
77,,455.96,Google,Office Supplies & Equipment,Google,Software & Technology,True,False,False
165,,457.38,Dropbox,Other,Dropbox,Software & Technology,True,True,False
47,,458.83,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
233,,463.25,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Professional Services,True,False,False
87,,466.46,[Vendor Missing],Other,[Vendor Missing],Banking & Finance,True,True,False
33,,467.56,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
174,,468.86,Salesforce,Other,Salesforce,Software & Technology,True,True,False
137,,470.54,Walgreens,Other,Walgreens,Office Supplies & Equipment,True,True,False
214,,486.18,Uber,Office Supplies & Equipment,Uber,Travel & Transportation,True,False,False
78,,494.88,[Vendor Missing],Other,[Vendor Missing],Office Supplies & Equipment,True,True,False
218,,497.89,Salesforce,Office Supplies & Equipment,Salesforce,Software & Technology,True,False,False
145,,498.88,Shell,Office Supplies & Equipment,Shell,Travel & Transportation,True,False,False
219,,500.76,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
21,,508.17,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
147,,508.73,Target,Office Supplies & Equipment,Target,Office Supplies & Equipment,False,False,False
225,,510.44,[Vendor Missing],Other,[Vendor Missing],Travel & Transportation,True,True,False
75,,515.94,Walmart,Other,Walmart,Office Supplies & Equipment,True,True,False
141,,518.92,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
103,,533.21,Enterpriserent-a-car,Other,[Vendor Missing],Travel & Transportation,True,True,True
190,,540.68,Starbucks,Office Supplies & Equipment,Starbucks,Meals & Entertainment,True,False,False
56,,546.04,[Vendor Missing],Office Supplies & Equipment,Spotify,Software & Technology,True,False,True
203,,556.81,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
2,,561.68,Apple,Office Supplies & Equipment,Apple,Software & Technology,True,False,False
210,,566.75,Comcast,Other,Comcast,Utilities & Rent,True,True,False
166,,572.35,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
135,,576.67,Hertz,Other,Hertz,Travel & Transportation,True,True,False
44,,579.34,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
171,,579.99,Amazon,Office Supplies & Equipment,Amazon,Office Supplies & Equipment,False,False,False
149,,580.34,Salesforce,Other,Salesforce,Software & Technology,True,True,False
29,,588.85,Mcdonald's,Other,Mcdonald's,Meals & Entertainment,True,True,False
3,,589.68,Marriott,Office Supplies & Equipment,Marriott,Travel & Transportation,True,False,False
1,,590.9,[Vendor Missing],Office Supplies & Equipment,Chipotle,Meals & Entertainment,True,False,True
43,,595.44,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
131,,595.45,Spotify,Other,Spotify,Software & Technology,True,True,False
133,,598.44,Marriott,Office Supplies & Equipment,Marriott,Travel & Transportation,True,False,False
72,,615.9,[Vendor Missing],Other,[Vendor Missing],Banking & Finance,True,True,False
183,,616.04,[Vendor Missing],Other,[Vendor Missing],Banking & Finance,True,True,False
84,,627.12,Adobe,Other,Adobe,Software & Technology,True,True,False
170,,628.62,Subway,Other,Subway,Meals & Entertainment,True,True,False
230,,631.75,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
9,,636.05,Lyft,Office Supplies & Equipment,Lyft,Travel & Transportation,True,False,False
169,,636.98,Budget,Other,Budget,Travel & Transportation,True,True,False
64,,641.84,Spotify,Other,Spotify,Software & Technology,True,True,False
232,,645.02,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
179,,648.0,[Vendor Missing],Office Supplies & Equipment,AT&T,Utilities & Rent,True,False,True
156,,650.19,Verizon,Other,Verizon,Utilities & Rent,True,True,False
25,,660.09,Subway,Office Supplies & Equipment,Subway,Meals & Entertainment,True,False,False
40,,662.21,Salesforce,Office Supplies & Equipment,Salesforce,Software & Technology,True,False,False
113,,664.3,[Vendor Missing],Other,[Vendor Missing],Utilities & Rent,True,True,False
58,,667.27,Comcast,Office Supplies & Equipment,Comcast,Utilities & Rent,True,False,False
74,,675.95,AT&T,Office Supplies & Equipment,AT&T,Utilities & Rent,True,False,False
19,,682.03,Microsoft,Office Supplies & Equipment,Microsoft,Software & Technology,True,False,False
12,,684.93,Walgreens,Other,Walgreens,Office Supplies & Equipment,True,True,False
68,,687.17,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
86,,694.26,Chevron,Other,Chevron,Travel & Transportation,True,True,False
71,,697.51,Safeway,Office Supplies & Equipment,Safeway,Meals & Entertainment,True,False,False
119,,697.72,Amazon,Other,Amazon,Office Supplies & Equipment,True,True,False
132,,700.03,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
110,,701.48,Microsoft,Office Supplies & Equipment,Microsoft,Software & Technology,True,False,False
10,,702.12,Comcast,Office Supplies & Equipment,Comcast,Utilities & Rent,True,False,False
209,,703.0,Adobe,Other,Adobe,Software & Technology,True,True,False
55,,705.96,Microsoft,Other,Microsoft,Software & Technology,True,True,False
128,,707.25,Salesforce,Other,Salesforce,Software & Technology,True,True,False
105,,707.6,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
221,,709.79,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
196,,712.69,[Vendor Missing],Other,[Vendor Missing],Banking & Finance,True,True,False
52,,717.89,Adobe,Office Supplies & Equipment,Adobe,Software & Technology,True,False,False
70,,720.03,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Office Supplies & Equipment,False,False,False
111,,720.35,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
115,,721.56,Dropbox,Office Supplies & Equipment,Dropbox,Software & Technology,True,False,False
15,,745.24,Target,Office Supplies & Equipment,Target,Office Supplies & Equipment,False,False,False
211,,746.37,Chipotle,Other,Chipotle,Meals & Entertainment,True,True,False
158,,747.02,Walgreens,Other,Walgreens,Professional Services,True,True,False
108,,750.73,[Vendor Missing],Office Supplies & Equipment,Adobe,Software & Technology,True,False,True
95,,752.26,[Vendor Missing],Office Supplies & Equipment,Subway,Meals & Entertainment,True,False,True
89,,753.72,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
97,,754.48,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
123,,764.68,Uber,Office Supplies & Equipment,Uber,Travel & Transportation,True,False,False
8,,773.3,Domino's,Other,Domino's,Meals & Entertainment,True,True,False
189,,774.59,Hertz,Office Supplies & Equipment,Hertz,Travel & Transportation,True,False,False
60,,782.6,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
129,,788.04,Spotify,Other,Spotify,Software & Technology,True,True,False
199,,793.3,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
222,,801.52,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
32,,807.69,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
36,,808.21,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
106,,808.39,[Vendor Missing],Other,[Vendor Missing],Travel & Transportation,True,True,False
140,,825.1,Shell,Other,Shell,Travel & Transportation,True,True,False
82,,830.74,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Office Supplies & Equipment,False,False,False
168,,833.01,Chipotle,Other,Chipotle,Meals & Entertainment,True,True,False
206,,847.43,Target,Other,Target,Office Supplies & Equipment,True,True,False
104,,849.73,[Vendor Missing],Other,[Vendor Missing],Travel & Transportation,True,True,False
102,,850.44,Walgreens,Office Supplies & Equipment,Walgreens,Office Supplies & Equipment,False,False,False
109,,851.1,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
88,,856.88,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
30,,859.78,Netflix,Office Supplies & Equipment,Netflix,Software & Technology,True,False,False
17,,861.24,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
229,,864.38,[Vendor Missing],Other,[Vendor Missing],Meals & Entertainment,True,True,False
59,,864.74,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
157,,872.51,Marriott,Office Supplies & Equipment,Marriott,Travel & Transportation,True,False,False
239,,873.41,Salesforce,Office Supplies & Equipment,Salesforce,Software & Technology,True,False,False
7,,885.57,Airbnb,Office Supplies & Equipment,Airbnb,Travel & Transportation,True,False,False
90,,897.91,Marriott,Other,Marriott,Travel & Transportation,True,True,False
163,,899.01,Microsoft,Office Supplies & Equipment,Microsoft,Software & Technology,True,False,False
67,,899.61,Budget,Office Supplies & Equipment,Budget,Travel & Transportation,True,False,False
185,,901.79,Lyft,Other,Lyft,Travel & Transportation,True,True,False
53,,905.43,Microsoft,Office Supplies & Equipment,Microsoft,Software & Technology,True,False,False
42,,919.47,Netflix,Other,Netflix,Software & Technology,True,True,False
148,,934.31,Adobe,Other,Adobe,Software & Technology,True,True,False
217,,945.38,Netflix,Other,Netflix,Software & Technology,True,True,False
194,,945.47,Lyft,Office Supplies & Equipment,Lyft,Travel & Transportation,True,False,False
186,,949.06,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
26,,964.4,Microsoft,Office Supplies & Equipment,Microsoft,Software & Technology,True,False,False
175,,967.3,Kroger,Other,Kroger,Meals & Entertainment,True,True,False
240,,967.73,Safeway,Other,Safeway,Meals & Entertainment,True,True,False
37,,969.03,Netflix,Other,Netflix,Software & Technology,True,True,False
143,,973.17,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
146,,980.26,Domino's,Office Supplies & Equipment,Domino's,Meals & Entertainment,True,False,False
92,,980.74,[Vendor Missing],Other,[Vendor Missing],Meals & Entertainment,True,True,False
151,,980.79,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
235,,982.4,Netflix,Office Supplies & Equipment,Netflix,Software & Technology,True,False,False
249,,984.46,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Office Supplies & Equipment,False,False,False
81,,987.9,Chevron,Other,Chevron,Travel & Transportation,True,True,False
236,,991.0,Amazon,Office Supplies & Equipment,Amazon,Office Supplies & Equipment,False,False,False
198,,994.63,Airbnb,Other,Airbnb,Travel & Transportation,True,True,False
